ID,Prediction
1076,Phase 3
190816,Approved
180551,Phase 2
51630,Phase 2
50566,Phase 1
148985,Phase 2
71409,Phase 2
18091,Application submitted
39903,Phase 2
178779,Approved
2407,Approved
77234,Approved
111828,Approved
82352,Phase 2
91923,Investigative
100272,Approved
150202,Phase 2
69018,Phase 1
52918,Phase 2
139576,Approved
183241,Discontinued in Phase 2
19238,Preclinical
79175,Phase 2
86970,Terminated
167681,Phase 2
41364,Phase 2
164543,Phase 1
128103,Phase 2
108193,Phase 2
174744,Phase 3
76428,Approved
172171,Investigative
172407,Phase 2
75293,Phase 1
146326,Phase 2
109927,Phase 2
53344,Approved
175089,Phase 3
152739,Approved
117103,Approved
39865,Phase 2
163171,Investigative
28134,Phase 1
35973,Phase 2
134865,Approved
179451,Approved
184077,Approved
97569,Phase 2
166430,Phase 2
29450,Preclinical
44419,Phase 2
23068,Terminated
122443,Approved
161708,Approved
55646,Phase 2
36052,Phase 3
75218,Preclinical
65730,Approved
3414,Phase 2
42637,Phase 2
84072,Approved
54295,Approved
61724,Approved
81456,Approved
159919,Phase 2
170561,Phase 2
97956,Approved
47124,Discontinued in Phase 2
101661,Phase 2
72399,Phase 2
11624,Approved
36380,Phase 1
142752,Phase 2
68178,Phase 2
155070,Phase 2
87634,Discontinued in Phase 2
20173,Approved
121712,Phase 1
22702,Phase 2
28424,Phase 2
58479,Phase 2
160461,Phase 2
135469,Approved
98016,Phase 2
25987,Withdrawn from market
126791,Phase 3
198,Phase 2
83445,Approved
2427,Approved
90338,Phase 2
29321,Investigative
169121,Preclinical
71635,Phase 2
64195,Phase 2
1280,Investigative
45899,Phase 2
187156,Phase 1
615,Phase 2
1504,Approved
62231,Phase 1
185606,Phase 1
133311,Phase 1
1429,Approved
154212,Approved
115650,Phase 3
155951,Approved
166073,Phase 2
36424,Approved
92574,Phase 3
51518,Phase 1
173546,Phase 1
145905,Phase 2
58782,Phase 1
154622,Phase 2
49121,Phase 2
56599,Approved
28100,Phase 2
112175,Discontinued in Phase 3
10130,Approved
142344,Approved
185022,Phase 2
58218,Phase 2
54311,Approved
48970,Phase 2
179558,Approved
88828,Phase 2
53623,Phase 2
32817,Phase 2
20604,Phase 4
173983,Phase 2
181428,Phase 2
67230,Approved
132349,Approved
181260,Phase 1
158509,Approved
131828,Approved
125926,Investigative
104817,Phase 1
23151,Approved
179403,Approved
83397,Phase 2
166894,Investigative
235,Phase 2
94684,Investigative
145681,Phase 2
55749,Discontinued in Phase 2
99332,Phase 2
59161,Phase 2
35023,Phase 2
130224,Phase 2
72003,Phase 2
179542,Approved
143972,Phase 1
6,Phase 2
27865,Phase 2
98585,Phase 2
80387,Phase 2
67043,Approved
92348,Phase 2
129344,Phase 1
91571,Discontinued in Phase 3
109280,Phase 2
42700,Approved
87885,Discontinued in Phase 3
187373,Phase 2
90239,Approved
115872,Phase 1
143157,Phase 2
126584,Phase 1
12835,Phase 1
160456,Phase 2
126388,Investigative
175277,Approved
24912,Phase 2
70214,Phase 2
85364,Investigative
44607,Phase 3
92924,Phase 2
41867,Phase 2
122081,Phase 3
165594,Phase 1
124112,Phase 2
182729,Phase 2
22832,Phase 2
15536,Approved
20771,Phase 1
134695,Approved
88453,Patented
70839,Discontinued in Phase 2
146661,Investigative
154091,Approved
119331,Phase 3
191472,Discontinued in Phase 1
125304,Phase 3
78198,Phase 3
165065,Phase 2
141550,Approved
168044,Discontinued in Phase 3
37748,Phase 1/2
32955,Phase 2
143091,Phase 2
58875,Phase 1
56982,Approved
94506,Investigative
148425,Investigative
122086,Phase 2
142356,Phase 2
86078,Approved
67717,Approved
192048,Approved
166316,Phase 2
3627,Investigative
86412,Phase 2
31010,Approved
47339,Phase 2
160766,Phase 1
178070,Phase 3
100799,Terminated
135055,Approved
32732,Phase 3
117831,Phase 1/2
142387,Phase 1
41715,Phase 2
74155,Phase 2
14509,Phase 1/2
19539,Phase 2
126939,Approved
174782,Phase 2
87329,Phase 1/2
157699,Patented
96574,Approved
14909,Phase 1
103270,Phase 1
127377,Phase 1
57788,Phase 1
168734,Phase 2
41595,Phase 3
17247,Phase 1
144165,Phase 1
52088,Discontinued in Phase 2
179928,Phase 2
140825,Terminated
34785,Phase 2
120829,Discontinued in Phase 2
187992,Phase 2
130353,Phase 2
111425,Phase 1/2
111893,Discontinued in Phase 3
166029,Phase 2
186429,Phase 1
151440,Phase 2/3
185252,Approved
5670,Investigative
146635,Phase 2
45969,Phase 3
120366,Approved
148225,Investigative
179000,Approved
162859,Phase 2
61893,Investigative
78874,Phase 2
135424,Approved
179554,Approved
149092,Phase 2
77411,Phase 2
144191,Approved
133228,Discontinued in Phase 2
35331,Phase 1
126969,Phase 2
144984,Investigative
89914,Investigative
131549,Approved
172101,Approved
148041,Phase 2
46997,Investigative
98808,Phase 3
43146,Phase 3
66137,Phase 3
112697,Discontinued in Phase 3
180294,Investigative
12550,Phase 1
155571,Phase 2
27026,Phase 2
29244,Approved
19710,Phase 1
82907,Approved
7942,Discontinued in Phase 2
110171,Approved
14749,Phase 1
4742,Phase 1
132032,Investigative
89564,Phase 1
183141,Phase 2
120058,Phase 1
168856,Preclinical
131012,Phase 2
94312,Phase 2
87653,Discontinued in Phase 3
147612,Phase 2
49271,Approved
49080,Approved
7941,Discontinued in Phase 2
176036,Phase 3
59785,Phase 1
47618,Approved
49689,Discontinued in Phase 2
131551,Phase 3
18125,Phase 3
191833,Approved
12914,Patented
51358,Phase 2
64216,Approved
96865,Approved
135397,Approved
149886,Phase 1/2
57277,Phase 2
48570,Phase 2
1948,Phase 2
97593,Approved
149207,Phase 3
52128,Phase 1
33604,Phase 2
119724,IND submitted
122618,Approved
119377,Phase 2
36652,Approved
93710,Phase 2
22884,Terminated
191345,Phase 1
113016,Approved
145070,Phase 2
2126,Phase 2
38114,Phase 2
162981,Approved
148886,Phase 2
23811,Phase 2
178031,Phase 1
26151,Phase 2
165273,Phase 2
83182,Investigative
22787,Phase 2
171228,Phase 2
188172,Phase 2
29183,Investigative
120309,Approved
73026,Phase 3
50819,Approved
112924,Phase 1
82829,Approved
383,Phase 2
131070,Phase 4
19985,Phase 3
38976,Phase 2
2797,Phase 1
32628,Phase 2
102702,Approved
73562,Approved
91494,Phase 1
119670,Phase 2
59470,Phase 1
58003,Phase 2
142506,Phase 1
30931,Phase 2
100618,Approved
122117,Phase 2
45286,Phase 2
113838,Phase 2
98906,Phase 2
171090,Phase 1
144669,Phase 2
105387,Phase 2
23005,Phase 2
179129,Approved
108396,Patented
112355,Discontinued in Phase 3
191364,Discontinued in Phase 1
81588,Approved
81457,Approved
143442,Phase 2
190751,Phase 3
122961,Phase 1
119846,Approved
6991,Approved
61351,Phase 2
191164,Phase 1
152756,Approved
95542,Phase 2
177791,Phase 2
14671,Approved
43091,Phase 2
169098,Discontinued in Phase 2
16170,Phase 2
95577,Phase 2
35038,Phase 2
299,Approved
36279,Phase 1
125901,Phase 1
73172,Phase 2
178061,Investigative
24333,Discontinued in Phase 1
30860,Approved
126177,Phase 1
73532,Phase 1
167960,Discontinued in Phase 2
131769,Approved
85355,Investigative
124331,Phase 2
190735,Approved
158939,IND submitted
43407,Phase 3
50535,Phase 2
28390,Phase 2
119632,Withdrawn from market
179611,Approved
70536,Phase 3
153937,Phase 2
98459,Phase 3
58581,Phase 1
126580,Withdrawn from market
161681,Approved
48635,Phase 2
70555,Approved
154676,Phase 2
412,Approved
65899,Discontinued in Phase 1
55854,Phase 1
51174,Phase 2
28394,Phase 2
166322,Phase 2
2939,Phase 1
164180,Phase 2
43829,Phase 2
53822,Approved
119744,Discontinued in Phase 3
44335,Phase 3
168539,Discontinued in Phase 2
26934,Phase 2
84104,Phase 1
192123,Phase 2
167416,Terminated
20486,Phase 2
113698,Phase 2
188648,Phase 2
183896,Phase 2
34687,Phase 2
191493,Approved
144223,Discontinued in Phase 1
24935,Investigative
174786,Phase 2
14822,Phase 2
19305,Phase 2
150585,Investigative
52868,Approved
189159,Phase 2
30232,Phase 2
129047,Approved
17807,Patented
169210,Discontinued in Phase 3
93287,Phase 2
141523,Approved
93403,Phase 2
24093,Patented
47117,Terminated
23547,Approved
40724,Phase 2
124365,Phase 2
26710,Phase 2
56175,Phase 1
172815,Phase 1
165623,Phase 2
170486,Phase 2
68391,Approved
2595,Phase 1
35208,Phase 2
72817,Phase 2
60496,Phase 2
167795,Approved
95363,Phase 2
8733,Approved
137748,Phase 1
65337,Terminated
55944,Approved
89820,Phase 2
62522,Approved
124397,Phase 2
35546,Investigative
3565,Phase 2
46167,Phase 3
139969,Approved
159957,Investigative
84088,Approved
102577,Investigative
99672,Phase 2
176382,Approved
60847,Phase 3
28002,Phase 1
86849,Phase 2
153454,Discontinued in Phase 3
31294,Investigative
188808,Phase 2
126467,Phase 2
103365,Phase 2
17201,Phase 1
54229,Approved
11896,Phase 2
151285,Withdrawn from market
4720,Phase 1
21531,Phase 2
60692,Phase 2
1460,Approved
125351,Phase 1
12690,Phase 1
77029,Phase 2
42381,Patented
91345,Phase 1/2
185436,Approved
157663,Approved
68133,Phase 3
168462,Approved
161325,Approved
189595,Phase 2
152253,Phase 1
57467,Phase 1
55992,Phase 1
148054,Phase 1/2
95545,Phase 2
185450,Phase 2
189045,Approved
103962,Approved
93802,Phase 2
144948,Phase 2
171550,Phase 2
114593,Investigative
108171,Phase 2
110089,Phase 2
15156,Phase 1
128044,Approved
158631,Phase 2
110045,Phase 2
156123,Phase 2
83194,Phase 2
23877,Discontinued in Phase 2
177372,Phase 2
80852,Phase 2
178002,Phase 1
168729,Discontinued in Phase 2
8600,Phase 2
73242,Approved
22993,Phase 3
97129,Phase 2
158740,Approved
158963,Approved
123927,Approved
166120,Investigative
87051,Phase 2
66340,Investigative
88131,Phase 1
119067,Approved
96328,Phase 2
47476,Phase 2
68675,Phase 2
163405,Phase 2
85294,Approved
127057,Phase 3
87393,Approved
79449,Approved
168053,Preclinical
56066,Approved
50307,Approved
117793,Phase 2
167437,Discontinued in Phase 2
122381,Phase 2
25876,Withdrawn from market
69614,Phase 3
36922,Approved
116679,Phase 2
150104,Phase 2
14571,Approved
15090,Phase 1
104376,Phase 1
122841,Approved
105626,Phase 2
122136,Phase 1
52455,Approved
58552,Phase 2
6662,Phase 2
84848,Phase 2
145268,Phase 2
56925,Phase 2
172879,Investigative
106944,Approved
32235,Phase 2
142668,Phase 1
141670,Approved
157832,Phase 1
170536,Phase 1
53229,Approved
96918,Phase 2
184395,Approved
155307,Phase 2
76164,Phase 2
92963,Phase 2
170832,Phase 1/2
116047,Phase 1
118950,Approved
40599,Phase 2
181981,Phase 1
91412,Preclinical
87994,Phase 1
112799,Discontinued in Phase 3
173734,Phase 1
15138,Phase 1
105363,Phase 3
114974,Patented
167732,Patented
149243,Phase 1
131898,Approved
180848,Investigative
77804,Phase 2
125108,Phase 2
39652,Phase 2
41476,Phase 2
93547,Phase 2
127503,Phase 2
28974,Investigative
56513,Approved
167736,Approved
250,Phase 2
127821,Phase 2
60045,Phase 2
167553,Preclinical
168560,Discontinued in Phase 1
151912,Approved
42450,Phase 3
137994,Phase 2
104180,Phase 2
2031,Approved
66813,Approved
73286,Phase 2
149369,Phase 2
114008,Approved
130406,Discontinued in Phase 2
106868,Investigative
35281,Phase 2
149513,Investigative
100474,Approved
131737,Phase 2
107062,Phase 2
158163,Phase 1
121982,Phase 3
134792,Approved
56705,Phase 3
42549,Phase 3
84324,Phase 2
71289,Phase 2
33508,Phase 2
127412,Phase 1
149756,Phase 1
12910,Patented
41530,Phase 1
89455,Phase 2
185090,Approved
175816,Phase 2
64998,Approved
89957,Phase 2
187774,Phase 1
167162,Discontinued in Phase 1
81317,Approved
29886,Terminated
160924,Phase 1/2
157474,Phase 2
175750,Phase 2
52667,Phase 2
86429,Phase 2
61108,Phase 2
46568,Phase 1
123230,Approved
152007,Withdrawn from market
103160,Approved
63490,Phase 2
50542,Phase 2
41301,Phase 2
190607,Approved
59810,Phase 3
